question_id,question,category
291,"What did you do on the Saturday before this interview?","Weekend Prior to the Interview"
292,"What did you do on the Sunday before this interview?","Weekend Prior to the Interview"
293,"Did you go anywhere special?","Weekend Prior to the Interview"
294,"Did you have any visitors?","Weekend Prior to the Interview"
295,"Did you attend any religious services?","Weekend Prior to the Interview"
296,"What meals did you prepare at home?","Weekend Prior to the Interview"
